"GEO-Cloud_001-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
"GEO-Cloud_003-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,446.513,10 Aug 2014 16:37:26.513,699.756,10 Aug 2014 16:41:39.756,253.242
2,33726.829,11 Aug 2014 01:52:06.829,34350.564,11 Aug 2014 02:02:30.564,623.736
3,39606.231,11 Aug 2014 03:30:06.231,40093.367,11 Aug 2014 03:38:13.367,487.135
4,76830.832,11 Aug 2014 13:50:30.832,77264.219,11 Aug 2014 13:57:44.219,433.387
5,82544.838,11 Aug 2014 15:25:44.838,83182.892,11 Aug 2014 15:36:22.892,638.053

"GEO-Cloud_003-To-Dubai - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,9256.361,10 Aug 2014 19:04:16.361,9912.522,10 Aug 2014 19:15:12.522,656.161
2,48312.096,11 Aug 2014 05:55:12.096,48923.801,11 Aug 2014 06:05:23.801,611.705
3,54184.031,11 Aug 2014 07:33:04.031,54662.093,11 Aug 2014 07:41:02.093,478.062

"GEO-Cloud_003-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,2914.438,10 Aug 2014 17:18:34.438,3494.008,10 Aug 2014 17:28:14.008,579.570
2,31270.905,11 Aug 2014 01:11:10.905,31771.465,11 Aug 2014 01:19:31.465,500.560
3,36960.139,11 Aug 2014 02:46:00.139,37624.084,11 Aug 2014 02:57:04.084,663.945
4,42905.105,11 Aug 2014 04:25:05.105,43373.748,11 Aug 2014 04:32:53.748,468.643
5,79392.162,11 Aug 2014 14:33:12.162,79863.830,11 Aug 2014 14:41:03.830,471.668
6,85142.878,11 Aug 2014 16:09:02.878,85806.775,11 Aug 2014 16:20:06.775,663.897

"GEO-Cloud_003-To-Kourou - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
1,33099.118,11 Aug 2014 01:41:39.118,33740.734,11 Aug 2014 01:52:20.734,641.616
2,39111.630,11 Aug 2014 03:21:51.630,39296.741,11 Aug 2014 03:24:56.741,185.111
3,77286.299,11 Aug 2014 13:58:06.299,77940.327,11 Aug 2014 14:09:00.327,654.028

