"GEO-Cloud_009-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,80490.959,11 Aug 2014 14:51:30.959,81146.655,11 Aug 2014 15:02:26.655,655.697


"GEO-Cloud_009-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
7,83096.969,11 Aug 2014 15:34:56.969,83743.508,11 Aug 2014 15:45:43.508,646.539

"GEO-Cloud_009-To-Kourou - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,81175.059,11 Aug 2014 15:02:55.059,81550.589,11 Aug 2014 15:09:10.589,375.530


"GEO-Cloud_009-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,83888.080,11 Aug 2014 15:48:08.080,84540.115,11 Aug 2014 15:59:00.115,652.035

"GEO-Cloud_009-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,82035.003,11 Aug 2014 15:17:15.003,82566.185,11 Aug 2014 15:26:06.185,531.182


"GEO-Cloud_009-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
15,82697.136,11 Aug 2014 15:28:17.136,82902.904,11 Aug 2014 15:31:42.904,205.768


"GEO-Cloud_009-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
10,79678.956,11 Aug 2014 14:37:58.956,80284.270,11 Aug 2014 14:48:04.270,605.314

"GEO-Cloud_010-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,81141.499,11 Aug 2014 15:02:21.499,81571.496,11 Aug 2014 15:09:31.496,429.997

"GEO-Cloud_010-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,80151.615,11 Aug 2014 14:45:51.615,80802.516,11 Aug 2014 14:56:42.516,650.902


"GEO-Cloud_010-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,82757.150,11 Aug 2014 15:29:17.150,83396.494,11 Aug 2014 15:39:56.494,639.345

"GEO-Cloud_010-To-Kourou - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,80804.764,11 Aug 2014 14:56:44.764,81239.100,11 Aug 2014 15:03:59.100,434.337


"GEO-Cloud_010-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,83545.919,11 Aug 2014 15:42:25.919,84200.780,11 Aug 2014 15:53:20.780,654.861

"GEO-Cloud_010-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,81706.244,11 Aug 2014 15:11:46.244,82219.749,11 Aug 2014 15:20:19.749,513.505


"GEO-Cloud_010-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
15,82346.275,11 Aug 2014 15:22:26.275,82552.247,11 Aug 2014 15:25:52.247,205.972


"GEO-Cloud_010-To-Troll - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
10,79338.660,11 Aug 2014 14:32:18.660,79946.628,11 Aug 2014 14:42:26.628,607.968

"GEO-Cloud_011-To-Chetumal - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,80830.215,11 Aug 2014 14:57:10.215,81206.263,11 Aug 2014 15:03:26.263,376.048

"GEO-Cloud_011-To-Cordoba - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,79813.374,11 Aug 2014 14:40:13.374,80457.140,11 Aug 2014 14:50:57.140,643.766


"GEO-Cloud_011-To-Irkutsk - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,82417.907,11 Aug 2014 15:23:37.907,83048.689,11 Aug 2014 15:34:08.689,630.783

"GEO-Cloud_011-To-Kourou - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
4,80440.506,11 Aug 2014 14:50:40.506,80921.836,11 Aug 2014 14:58:41.836,481.330


"GEO-Cloud_011-To-Malaysia - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
3,83205.404,11 Aug 2014 15:36:45.404,83860.061,11 Aug 2014 15:47:40.061,654.657

"GEO-Cloud_011-To-Prince_Albert - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
6,81378.585,11 Aug 2014 15:06:18.585,81873.042,11 Aug 2014 15:14:33.042,494.457


"GEO-Cloud_011-To-Svalbard - Access","Start Time (EpSec)","Start Time (UTCG)","Stop Time (EpSec)","Stop Time (UTCG)","Duration (sec)"
